Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,641
design__inferred_latch__count,0
design__instance__count,8735
design__instance__area,77498.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,79
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0004096998309250921
power__switching__total,0.0001934919855557382
power__leakage__total,9.994417382586107E-8
power__total,0.0006032917299307883
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.0899482735975967
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.0868691809740187
timing__hold__ws__corner:nom_tt_025C_1v80,0.31895631483216924
timing__setup__ws__corner:nom_tt_025C_1v80,11.250992456145356
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.318956
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,19.385344
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,54
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,79
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.7613748735872272
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.7575830177616816
timing__hold__ws__corner:nom_ss_100C_1v60,0.8697667277030295
timing__setup__ws__corner:nom_ss_100C_1v60,7.674678887409948
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.869767
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,12.413602
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,79
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.8217797785970977
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.8191129117942215
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11189738341519934
timing__setup__ws__corner:nom_ff_n40C_1v95,12.7160969797603
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111897
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,21.599161
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,100
design__max_fanout_violation__count,79
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.8046203930877956
clock__skew__worst_setup,0.8021842306359613
timing__hold__ws,0.10992940202609046
timing__setup__ws,7.608900391786614
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109929
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.305313
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 400.205 410.925
design__core__bbox,5.52 10.88 394.68 399.84
design__io,131
design__die__area,164454
design__core__area,151368
design__instance__count__stdcell,8735
design__instance__area__stdcell,77498.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.511986
design__instance__utilization__stdcell,0.511986
design__instance__count__class:buffer,194
design__instance__count__class:inverter,507
design__instance__count__class:clock_gate_cell,3
design__instance__count__class:sequential_cell,1329
design__instance__count__class:multi_input_combinational_cell,2721
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,9778
design__instance__count__class:tap_cell,2175
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,129
design__io__hpwl,20596870
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,144276
design__violations,0
design__instance__count__class:timing_repair_buffer,1517
design__instance__count__class:clock_buffer,170
design__instance__count__class:clock_inverter,104
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1120
antenna__violating__nets,4
antenna__violating__pins,4
route__antenna_violation__count,4
antenna_diodes_count,15
design__instance__count__class:antenna_cell,15
route__net,6496
route__net__special,8
route__drc_errors__iter:1,2149
route__wirelength__iter:1,169502
route__drc_errors__iter:2,634
route__wirelength__iter:2,168281
route__drc_errors__iter:3,552
route__wirelength__iter:3,168008
route__drc_errors__iter:4,101
route__wirelength__iter:4,167865
route__drc_errors__iter:5,0
route__wirelength__iter:5,167826
route__drc_errors,0
route__wirelength,167826
route__vias,42371
route__vias__singlecut,42371
route__vias__multicut,0
design__disconnected_pin__count,19
design__critical_disconnected_pin__count,0
route__wirelength__max,719.7
timing__unannotated_net__count__corner:nom_tt_025C_1v80,168
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,168
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,168
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,79
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-1.067498786248644
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.0647275584785014
timing__hold__ws__corner:min_tt_025C_1v80,0.31476877550945637
timing__setup__ws__corner:min_tt_025C_1v80,11.307713307988422
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
